NAME,Site_Name,distance_to_site_miles,ZIP,STATE,CITY,CNTY
ISANA Octavia Academy,San Fernando Valley (Area 4),0.7897863631995546,90065,CA,Los Angeles,6037
Upper Moreland El Sch,Fischer & Porter Co.,0.7900088297324825,19040,PA,Hatboro,42091
Andersen Middle,South Minneapolis Residential Soil Contamination,0.7900260028592924,55407,MN,MINNEAPOLIS,27053
ROCK ISLAND ELEMENTARY SCHOOL,Wingate Road Municipal Incinerator Dump,0.790493498089817,33311,FL,FORT LAUDERDALE,12011
Tommie F. Brown Academy,Southside Chattanooga Lead,0.7912175116263067,37403,TN,Chattanooga,47065
Mark Keppel Elementary,San Fernando Valley (Area 2),0.7912287704284219,91202,CA,Glendale,6037
TISD CHILD & ADOLESCENT SCHOOL,Van der Horst USA Corporation,0.7912732824748736,75160,TX,TERRELL,48257
West Broad Street El Sch,North Penn - Area 1,0.7924845661906533,18964,PA,Souderton,42091
COLBERT ELEMENTARY SCHOOL,Petroleum Products Corp.,0.7935967599937083,33020,FL,HOLLYWOOD,12011
Northern Middle,Central Chemical (Hagerstown),0.793742663913539,21742,MD,Hagerstown,24043
J. T. Reddick Elementary School,Marzone Inc./Chevron Chemical Co.,0.7938672825832043,31794,GA,Tifton,13277
Weed Elementary,J.H. Baxter & Co.,0.7942786769954079,96094,CA,Weed,6093
Saco Middle School,Saco Municipal Landfill,0.7946639739136911,4072,ME,Saco,23031
Yerba Buena High,Lorentz Barrel & Drum Co.,0.7947647472430789,95122,CA,San Jose,6085
Art Haycox Elementary,Halaco Engineering Company,0.7957743857142631,93033,CA,Oxnard,6111
Fairhaven High,Atlas Tack Corp.,0.7959267193410533,2719,MA,Fairhaven,25005
EARLY CHILDHOOD CENTER AT EDUCARE - KELLOM,Omaha Lead,0.7965205196587001,68102,NE,OMAHA,31055
William F. Halloran School No.22,Chemical Control,0.7965488453340603,7202,NJ,ELIZABETH,34039
Hawthorne School,Wasatch Chemical Co. (Lot 6),0.7966907210998874,84105,UT,SALT LAKE CITY,49035
Burbank Unified Independent Learning Academy (BUILA),San Fernando Valley (Area 1),0.7971907173159477,91505,CA,Burbank,6037
Watchung Elementary School,Middlesex Sampling Plant (USDOE),0.7976768060753977,8846,NJ,MIDDLESEX,34023
FRANCIS HOWELL HIGH,Weldon Spring Former Army Ordnance Works,0.7981240763240035,63304,MO,ST CHARLES,29183
Washington,Silresim Chemical Corp.,0.79891466805142,1851,MA,Lowell,25017
Hazelwood Elementary School,Quendall Terminals,0.7989675983031069,98056,WA,Newcastle,53033
Parkview  School,Fried Industries,0.7990007728974627,8850,NJ,MILLTOWN,34023
School of Leaders for PS Secondary,Koppers Coke,0.799008671922219,55102,MN,SAINT PAUL,27123
Irrawaddy Academy Elementary,Koppers Coke,0.799008671922219,55104,MN,SAINT PAUL,27123
Iola High School Virtual,Former United Zinc & Associated Smelters,0.799284627175404,66749,KS,Iola,20001
Iola Sr High,Former United Zinc & Associated Smelters,0.799284627175404,66749,KS,Iola,20001
Special Services,Puget Sound Naval Shipyard Complex,0.7992936965007171,98312,WA,Bremerton,53035
Child Family Center,Nascolite Corp.,0.799309344083508,8332,NJ,MILLVILLE,34011
Washington School,Utah Power & Light/American Barrel Co.,0.79952241873936,84103,UT,SALT LAKE CITY,49035
Katharine D Malone Elementary School,"Radiation Technology, Inc.",0.7998711960227904,7866,NJ,ROCKAWAY,34027
Frank Brouillet Elem,Hidden Valley Landfill (Thun Field),0.7999517352791823,98375,WA,Puyallup,53053
Hillcrest High,"Para-Chem Southern, Inc.",0.8004116393937458,29681,SC,Simpsonville,45045
Garfield Public Preschool 3 at Headstart,Garfield Ground Water Contamination,0.8006702556757191,7026,NJ,Garfield,34003
Orangedale Early Learning Center,"Motorola, Inc. (52nd Street Plant)",0.8006959261759065,85008,AZ,PHOENIX,4013
ABQ SIGN LANGUAGE ACADEMY,Fruit Avenue Plume,0.8008709718429132,87102,NM,ALBUQUERQUE,35001
COHEN MIDDLE SCHOOL,"Facet Enterprises, Inc.",0.801151757188816,14903,NY,ELMIRA HEIGHTS,36015
Audubon Elementary School,Peoples Natural Gas Co.,0.8015674141622324,52001,IA,Dubuque,19061
Shuksan Middle School,Oeser Co,0.8018212590039631,98225,WA,Bellingham,53073
Harmon Elementary School,Ten-Mile Drain,0.8024137512036115,48080,MI,SAINT CLAIR SHORES,26099
